MODEL,PRODUCT NAME,DESCRIPTION/KEY FEATURES,PRODUCT CATEGORY,"PRODUCT WIDTH
(mm)","PRODUCT DEPTH
(mm)","PRODUCT HEIGHT
(mm)","PACKED
WEIGHT
(kg's)","PACKED
VOLUME
(m³)","PRODUCT
CAPACITY","POWER
DELIVERY",BRAND,IMAGES,CAD DRAWING,"PRODUCT
ORIGIN",BROCHURE,WARRANTY,"RRP
(ex GST)",ACCESSORIES,"RELATED
MODELS",product order,
GT700,Roband Griddle Toaster - Very High Production,"The perfect combination machine to produce a great top toasting result, whilst precisely cooking your steaks, eggs, bacon or hamburgers. 8mm thick steel cooking plate, independent control of toasting and cooking functions, independent operation of left or right side, compacted cooking plate elements with superior clamping for fast temperature recovery and reliable temperature control, forward positioned grease gutter and integrated, side positioned grease collection box which is easily removable for cleaning, removable crumb tray, wire rack with bun stop, can fit full size 25mm deep gastronorm pan in toasting area. 700 x 400
cooking surface, 26 Amp","Cooking, Cooking > Griddle Toasters",725,541,374,42,0.228,700 x 400 cooking surface,5960w,ROBAND,GT700 Griddle Toaster.jpg,GT700.DWG,Australia,"Roband Catalogue July2018.pdf

Roband Griddles broch Nov2017.pdf",12 months," $1,464.00 ",0,"GT480
GT500",62,
UDS10VP,Robatherm Hot Water Urns 10Lt,"Stylishly finished and designed for commercial use, featuring a unique mode selector switch that allows either variable or pre-set 95 degree temperature control, a double skinned tank, long life concealed elements, a sturdy stainless steel non-drip tap, sight glass and boil dry protection.50 cups(160ml), 10 litre capacity. 10 Amp.","Beverage, Beverage > Hot Water Urns",,"240
diameter",480,4,0.048,50 cups (160ml),2300w,ROBATHERM,UDS10VP Robatherm Hot Water Urn.jpg,,China,Robatherm Catalogue July2018.pdf,12 months, $269.00 ,,"UDS20VP
UDS30VP",63,
UDS20VP,Robatherm Hot Water Urns 20Lt,"Stylishly finished and designed for commercial use, featuring a unique mode selector switch that allows either variable or pre-set 95 degree temperature control, a double skinned tank, long life concealed elements, a sturdy stainless steel non-drip tap, sight glass and boil dry protection.120 cups (160ml), 20 litre capacity. 10 Amp.","Beverage, Beverage > Hot Water Urns",,"330
diameter",550,6,0.082,120 cups (160ml),2300w,ROBATHERM,UDS20VP Robatherm Hot Water Urn.jpg,,China,Robatherm Catalogue July2018.pdf,12 months, $303.00 ,,"UDS10VP
UDS30VP",64,
UDS30VP,Robatherm Hot Water Urns 30Lt,"Stylishly finished and designed for commercial use, featuring a unique mode selector switch that allows either variable or pre-set 95 degree temperature control, a double skinned tank, long life concealed elements, a sturdy stainless steel non-drip tap, sight glass and boil dry protection.160 cups (160ml), 30 litre capacity. 10 Amp.","Beverage, Beverage > Hot Water Urns",,"330
diameter",645,7,0.096,160 cups (160ml),2300w,ROBATHERM,UDS30VP Robatherm Hot Water Urn.jpg,,China,Robatherm Catalogue July2018.pdf,12 months, $335.00 ,,"UDS10VP
UDS20VP",65,
CP80,Percolator,"Designed to deliver outstanding percolated coffee or tea, double skin construction, simple and effective basket, patented safety dome, simple on/off operation, high-quality non-drip stainless steel tap & twist lock with quality handles. 80 cups (160ml), 12.8 litre approx capacity. 10 Amp.","Beverage, Beverage > Coffee Percolators",,"270
diameter",500,6,0.065,80 cups (160ml),1650w,ROBATHERM,CP80 Percolator.jpg,,China,Robatherm Catalogue July2018.pdf,12 months, $387.00 ,,KH2,66,
RM1129,Robatherm Commercial Microwave Oven Light Duty,"Robatherm commercial microwaves have undergone extensive testing to achieve consistent, even cooking and heating results. The construction of the light duty RM1129 includes a steel door and door hinge construction, a double glazed door, ceramic oven cavity base and a quality aluminium door handle, all contributing to a durable high quality product. With a single magnetron and 20 pre-programmed menus for multi-stage cooking it is suitable for small cafés, takeaways & foodservice outlets.
10A plug. 29 litres.","Cooking, Cooking > Commercial Microwave Ovens",542,461,329,20,0.122,29L,1100W,ROBATHERM,RM1129 Robatherm Commercial Microwave.jpg,,South Korea,RobathermMicrowaveBrochureFeb20.pdf,12 months, $674.00 ,,"RM1434
RM1927
RM2117",67,
RM1434,Robatherm Commercial Microwave Oven Medium Duty,"Robatherm commercial microwaves have undergone extensive testing to achieve consistent, even cooking and heating results. The construction of the medium duty RM1434 includes a steel door and door hinge construction, ceramic oven cavity base and a quality aluminium door handle, all contributing to a durable high quality product. It is stackable, up to 2 microwaves. With a single magnetron and 10 pre-programmed menus for multi-stage cooking, can be increased to 100 programs it is suitable for  cafés, takeaways & other outlets.
10A plug. 34 litres.","Cooking, Cooking > Commercial Microwave Ovens",553,488,343,25,0.164,34L,1400W,ROBATHERM,RM1434 Robatherm Commercial Microwave.jpg,,China,RobathermMicrowaveBrochureFeb20.pdf,12 months," $1,079.00 ",,"RM1129
RM1927
RM2117",68,
RM1927,Robatherm Commercial Microwave Oven Heavy Duty,"Robatherm commercial microwaves have undergone extensive testing to achieve consistent, even cooking and heating results. The construction of the heavy duty RM1927 includes a steel door and door hinge construction, a double glazed door, ceramic oven cavity base and a quality aluminium door handle, all contributing to a durable high quality product. It is stackable, up to 2 microwaves. With dual magnetrons it can store up to 10 pre-programmed menus for multi-stage cooking. It is suitable for busy foodservice outlets or QSR’s (Quick Service Restaurants).
15A plug. 27 litres.","Cooking, Cooking > Commercial Microwave Ovens",465,599,370,36,0.164,27L,1900W,ROBATHERM,RM1927 Robatherm Commercial Microwave.jpg,,South Korea,RobathermMicrowaveBrochureFeb20.pdf,2 year parts and 1 year labour ," $2,159.00 ",,"RM1129
RM1434
RM2117",69,
RM2117,Robatherm Commercial Microwave Oven Heavy Duty,"Robatherm commercial microwaves have undergone extensive testing to achieve consistent, even cooking and heating results. The construction of the heavy duty RM2117 includes a steel door and door hinge construction, a double glazed door, ceramic oven cavity base and a quality aluminium door handle, all contributing to a durable high quality product. It is stackable, up to 2 microwaves. With dual magnetrons it can store up to 10 pre-programmed menus for multi-stage cooking which can be increased up to 100 Programs it is easy to program menus via the USB supplied. It is suitable for busy foodservice outlets or QSR’s (Quick Service Restaurants).
15A plug. 17 litres.","Cooking, Cooking > Commercial Microwave Ovens",420,563,340,34,0.169,17L,2100W,ROBATHERM,RM2117 Robatherm Commercial Microwave.jpg,,China,RobathermMicrowaveBrochureFeb20.pdf,2 year parts and 1 year labour ," $2,498.00 ",,"RM1129
RM1927
RM1434",70,
R10,Roband Rotisserie,"Fast thermo-reflective element technology, efficient separate spit control, large capacity fitting 10 size 18 chickens, twin glass doors, removable doors, front glass and grease drawer make it easy to clean, stainless steel body, spits and prongs, toughened safety glass.15 Amp","Cooking, Cooking > Rotisseries",1185,360,675,78,1.007,10 bird,3450w,ROBAND,R10 Rotisserie.jpg,R10_v2.DWG,Australia,Roband Catalogue July2018.pdf,12 months," $3,170.00 ",,"ECT22
ECT23",71,
FR15,Roband Single Pan Frypod 5lt,"This single pan fryer provides high performance whilst freeing up valuable counter-top space, stainless steel construction, precise thermostat control, splash guard with bash plate, safety lock mechanism prevents element removal when machine is on, swing back element locks in place - 2 positions, min & max oil level markers, bevelled fryer body for easy tank removal, isolating switch, insulated basket handle, element guard & safety over-temp cut-out. 5 litre capacity. 10 Amp","Cooking, Cooking > Benchtop Deep Fryers",290,480,335,12,0.114,5lt,2300w,ROBAND,FR15 Frypod Fryer.jpg,FR15-Draw-1.DWG,Australia,Roband Catalogue July2018.pdf,12 months, $599.00 ,MC1115,"FR18
FR111
FR25
FR28",72,
FR18,Roband Single Pan Frypod 8lt,"This single pan fryer provides high performance whilst freeing up valuable counter-top space, stainless steel construction, precise thermostat control, splash guard with bash plate, safety lock mechanism prevents element removal when machine is on, swing back element locks in place - 2 positions, min & max oil level markers, bevelled fryer body for easy tank removal, isolating switch, insulated basket handle, element guard & safety over-temp cut-out. 8 litre capacity. 15 Amp","Cooking, Cooking > Benchtop Deep Fryers",290,480,385,13,0.125,8lt,3450w,ROBAND,FR18 Frypod Fryer.jpg,,Australia,Roband Catalogue July2018.pdf,12 months, $651.00 ,MC1116,"FR15
FR111
FR25
FR28",73,
FR111,Roband Single Pan Frypod 11lt,"Double basket flexibility in a single pan fryer, stainless steel construction, precise thermostat control, splash guard with bash plate, safety lock mechanism prevents element removal when machine is on, swing back element locks in place - 2 positions, min & max oil level markers, bevelled fryer body for easy tank removal, isolating switch, insulated basket handle, element guard & safety over-temp cut-out. 11 litre capacity. 15 Amp","Cooking, Cooking > Benchtop Deep Fryers",555,480,335,18,0.182,11lt,3450w,ROBAND,FR111 Frypod Fryer.jpg,,Australia,Roband Catalogue July2018.pdf,12 months, $796.00 ,MC1115,"FR15
FR18
FR25
FR28",74,
FR25,Roband Double Pan Frypod 2 x 5lt,"This double pan fryer provides high performance whilst freeing up valuable counter-top space, stainless steel construction, precise thermostat control, splash guard with bash plate, safety lock mechanism prevents element removal when machine is on, swing back element locks in place - 2 positions, min & max oil level markers, bevelled fryer body for easy tank removal, isolating switch, insulated basket handle, element guard & safety over-temp cut-out. 2 x 5 litre capacity. 2 x 10 Amp","Cooking, Cooking > Benchtop Deep Fryers",570,480,335,19,0.182,2 x 5lt,2 x 2300w,ROBAND,FR25 Frypod Fryer.jpg,FR25-Draw-1.DWG,Australia,Roband Catalogue July2018.pdf,12 months," $1,071.00 ",MC1115,"FR15
FR18
FR111
FR28",75,
FR28,Roband Double Pan Frypod 2 x 8lt,"This double pan fryer provides high performance whilst freeing up valuable counter-top space, stainless steel construction, precise thermostat control, splash guard with bash plate, safety lock mechanism prevents element removal when machine is on, swing back element locks in place - 2 positions, min & max oil level markers, bevelled fryer body for easy tank removal, isolating switch, insulated basket handle, element guard & safety over-temp cut-out. 2 x 8 litre capacity. 2 x 15 Amp","Cooking, Cooking > Benchtop Deep Fryers",570,480,385,21,0.201,2 x 8lt,2 x 3450w,ROBAND,"FR28 Frypod Fryer with lids.jpg

FR28 Frypod Fryer.jpg",,Australia,Roband Catalogue July2018.pdf,12 months," $1,161.00 ",MC1116,"FR15
FR18
FR111
FR25",76,
F15,Roband Single Pan Fryer 5lt,"This single pan fryer provides high performance whilst freeing up valuable counter-top space, stainless steel construction, precise thermostat control, swing back element, min and max oil level markers, easily removable tank, isolating switch, insulated basket handle, element guard & safety over-temp cut-out.5litre. 10 Amp","Cooking, Cooking > Benchtop Deep Fryers",275,425,340,11,0.114,5lt,2300w,ROBAND,"F15 F Series Fryer with lid.jpg

F15 F Series Fryer.jpg",F15_v3.DWG,Australia,Roband Catalogue July2018.pdf,12 months, $543.00 ,MC1115,"F18
F111
F25
F28",77,
F18,Roband Single Pan Fryer 8lt,"This single pan fryer provides high performance whilst freeing up valuable counter-top space, stainless steel construction, precise thermostat control, swing back element, min and max oil level markers, easily removable tank, isolating switch, insulated basket handle, element guard & safety over-temp cut-out. 8litre. 15 Amp","Cooking, Cooking > Benchtop Deep Fryers",275,425,390,12,0.124,8lt,3450w,ROBAND,F18 F Series Fryer.jpg,F18_v3.DWG,Australia,Roband Catalogue July2018.pdf,12 months, $604.00 ,MC1116,"F15
F111
F25
F28",78,
F111,Roband Single Pan/Double basket fryer 11lt,"Double basket flexibility in a single pan fryer, stainless steel construction, precise thermostat control, swing back element, min and max oil level markers, easily removable tank, isolating switch, insulated basket handle, element guard & safety over-temp cut-out.11 litre capacity. 15 Amp","Cooking, Cooking > Benchtop Deep Fryers",545,425,340,17,0.182,11lt,3450w,ROBAND,F111 F Series Fryer.jpg,F111_v3.DWG,Australia,Roband Catalogue July2018.pdf,12 months, $750.00 ,MC1115,"F15
F18
F25
F28",79,
F25,Roband Double Pan Fryer 2 x 5lt,"With two pans and two baskets you can double the quantities, stagger the orders or keep food separate. Stainless steel construction, precise thermostat control, swing back element, min and max oil level markers, easily removable tank, isolating switch, insulated basket handle, element guard & safety over-temp cut-out.2 x 5 litre capacity. 2 x 10 Amp","Cooking, Cooking > Benchtop Deep Fryers",545,425,340,18,0.182,2 x 5lt,2 x 2300w,ROBAND,F25 F Series Fryer.jpg,F25_v3.DWG,Australia,Roband Catalogue July2018.pdf,12 months, $937.00 ,MC1115,"F15
F18
F111
F28",80,
F28,Roband Double Pan Fryer 2 x 8lt,"With two pans and two baskets you can double the quantities, stagger the orders or keep food separate. Stainless steel construction, precise thermostat control, swing back element, min and max oil level markers, easily removable tank, isolating switch, insulated basket handle, element guard & safety over-temp cut-out.2 x 8 litre capacity. 2 x 15 Amp","Cooking, Cooking > Benchtop Deep Fryers",545,425,390,20,0.201,2 x 8lt,2 x 3450w,ROBAND,F28 F Series Fryer.jpg,F28_v3.DWG,Australia,Roband Catalogue July2018.pdf,12 months," $1,066.00 ",MC1116,"F15
F18
F111
F25",81,
FD10,Roband Donut Fryer,"Designed specifically for donut frying, the shallow pan ensures optimum temperatures and recovery times for perfect results. Safety over-temp cut-out, isolating switch, swing back element, element guard, precise thermostat control, side trays, racks and lifters inc, stainless steel construction.8.5 litre capacity. 10 Amp","Benchtop, Benchtop > Donut Fryers",380,485,290,15,0.146,8.5lt,2300w,ROBAND,FD10 Donut Fryer.jpg,FD10_v3.DWG,Australia,Roband Catalogue July2018.pdf,12 months, $923.00 ,0,0,82,
PM25,Pie Master Pie Warmer,"Designed to hold and attractively display cooked pies, sausage rolls and pasties at correct serving temperature. Features modern stainless steel body, adjustable feet and metal control knobs. The cleverly designed display racks can be installed horizontally or at an angle. The PM25 comfortably holds 25 pies and features a glass hinged door.","Benchtop, Benchtop > Pie Warmers",401,398,585,23,0.147,25 pies,1100w,ROBAND,PM25 Pie Master.jpg,,Australia,Roband Catalogue April2020.pdf,12 months, $669.00 ,0,"PM25L
PM50
PM50G
PM50L
PM50LG
PM50S
PM100
PM100G
PM100L
PM100LG
PM100S",83,
PM25L,Pie Master Pie Warmer,"Designed to hold and attractively display cooked pies, sausage rolls and pasties at correct serving temperature. Features modern stainless steel body, adjustable feet and metal control knobs. The cleverly designed display racks can be installed horizontally or at an angle. The PM25L comfortably holds 25 pies and features a glass hinged door. Includes the addition of a baffle tray with steam (1/9 gastronorm) pan in the base of the unit to provide moisture to contents and an internal light to illuminate contents.","Benchtop, Benchtop > Pie Warmers",401,398,585,24,0.147,25 pies,1200w,ROBAND,PM25L Pie Master with light.jpg,,Australia,Roband Catalogue April2020.pdf,12 months, $723.00 ,Z19065,"PM25
PM50
PM50G
PM50L
PM50LG
PM50S
PM100
PM100G
PM100L
PM100LG
PM100S",84,
PM50,Pie Master Pie Warmer,"Designed to hold and attractively display cooked pies, sausage rolls and pasties at correct serving temperature. Features modern stainless steel body, adjustable feet and metal control knobs. The cleverly designed display racks can be installed horizontally or at an angle. The PM50 has a 50 pie capacity and has sliding glass doors on one side and a fixed pane of glass on the other.","Benchtop, Benchtop > Pie Warmers",610,392,507,28,0.184,50 pies,1250w,ROBAND,PM50 Pie Master.jpg,,Australia,Roband Catalogue April2020.pdf,12 months, $709.00 ,0,"PM25
PM25L
PM50G
PM50L
PM50LG
PM50S
PM100
PM100G
PM100L
PM100LG
PM100S",85,
PM50G,Pie Master Pie Warmer,"Designed to hold and attractively display cooked pies, sausage rolls and pasties at correct serving temperature. Features modern stainless steel body, adjustable feet and metal control knobs. The cleverly designed display racks can be installed horizontally or at an angle.  The PM50G has a 50 pie capacity and features sliding glass doors on both sides.","Benchtop, Benchtop > Pie Warmers",610,392,507,28,0.184,50 pies,1250w,ROBAND,0,,Australia,Roband Catalogue April2020.pdf,12 months, $740.00 ,0,"PM25
PM25L
PM50
PM50L
PM50LG
PM50S
PM100
PM100G
PM100L
PM100LG
PM100S",86,
PM50L,Pie Master Pie Warmer,"Designed to hold and attractively display cooked pies, sausage rolls and pasties at correct serving temperature. Features modern stainless steel body, adjustable feet and metal control knobs. The cleverly designed display racks can be installed horizontally or at an angle. The PM50L has a 50 pie capacity and has sliding glass doors on one side and a fixed pane of glass on the other. Includes the addition of a baffle tray with steam (1/9 gastronorm) pan in the base of the unit to provide moisture to contents and an internal light to illuminate contents.","Benchtop, Benchtop > Pie Warmers",610,392,507,29,0.184,50 pies,1350w,ROBAND,PM50L Pie Master with light.jpg,,Australia,Roband Catalogue April2020.pdf,12 months, $763.00 ,Z19065,"PM25
PM25L
PM50
PM50G
PM50LG
PM50S
PM100
PM100G
PM100L
PM100LG
PM100S",87,
PM50LG,Pie Master Pie Warmer,"Designed to hold and attractively display cooked pies, sausage rolls and pasties at correct serving temperature. Features modern stainless steel body, adjustable feet and metal control knobs. The cleverly designed display racks can be installed horizontally or at an angle.  The PM50LG has a 50 pie capacity and features sliding glass doors on both sides. Includes the addition of a baffle tray with steam (1/9 gastronorm) pan in the base of the unit to provide moisture to contents and an internal light to illuminate contents.","Benchtop, Benchtop > Pie Warmers",610,392,507,29,0.184,50 pies,1350w,ROBAND,0,,Australia,Roband Catalogue April2020.pdf,12 months, $804.00 ,Z19065,"PM25
PM25L
PM50
PM50G
PM50L
PM50S
PM100
PM100G
PM100L
PM100LG
PM100S",88,
PM50S,Pie Master Pie Warmer,"Designed to hold and attractively display cooked pies, sausage rolls and pasties at correct serving temperature. Features modern stainless steel body, adjustable feet and metal control knobs. The cleverly designed display racks can be installed horizontally or at an angle.  The PM50S has a 50 pie capacity and features stainless steel doors and a fixed stainless steel back.","Benchtop, Benchtop > Pie Warmers",610,392,507,28,0.184,50 pies,1250w,ROBAND,0,,Australia,,12 months, $736.00 ,0,"PM25
PM25L
PM50
PM50G
PM50L
PM50LG
PM100
PM100G
PM100L
PM100LG
PM100S",89,
PM100,Pie Master Pie Warmer,"Designed to hold and attractively display cooked pies, sausage rolls and pasties at correct serving temperature. Features modern stainless steel body, adjustable feet and metal control knobs. The cleverly designed display racks can be installed horizontally or at an angle. The PM100 holds 100 pies and has sliding glass doors on one side and a fixed pane of glass on the other.","Benchtop, Benchtop > Pie Warmers",772,392,587,38,0.261,100 pies,1550w,ROBAND,PM100 Pie Master.jpg,,Australia,Roband Catalogue April2020.pdf,12 months, $844.00 ,0,"PM25
PM25L
PM50
PM50G
PM50L
PM50LG
PM50S
PM100G
PM100L
PM100LG
PM100S",90,
PM100G,Pie Master Pie Warmer,"Designed to hold and attractively display cooked pies, sausage rolls and pasties at correct serving temperature. Features modern stainless steel body, adjustable feet and metal control knobs. The cleverly designed display racks can be installed horizontally or at an angle. The PM100G holds 100 pies and has sliding glass doors on both sides of the unit.","Benchtop, Benchtop > Pie Warmers",772,392,587,38,0.261,100 pies,1550w,ROBAND,0,,Australia,Roband Catalogue April2020.pdf,12 months, $875.00 ,0,"PM25
PM25L
PM50
PM50G
PM50L
PM50LG
PM50S
PM100
PM100L
PM100LG
PM100S",91,
PM100L,Pie Master Pie Warmer,"Designed to hold and attractively display cooked pies, sausage rolls and pasties at correct serving temperature. Features modern stainless steel body, adjustable feet and metal control knobs. The cleverly designed display racks can be installed horizontally or at an angle. The PM100L holds 100 pies and has sliding glass doors on one side and a fixed pane of glass on the other side of the unit. Includes the addition of a baffle tray with steam (1/9 gastronorm) pan in the base of the unit to provide moisture to contents and an internal light to illuminate contents.","Benchtop, Benchtop > Pie Warmers",772,392,587,39,0.261,100 pies,1650w,ROBAND,PM100L Pie Master with light.jpg,,Australia,Roband Catalogue April2020.pdf,12 months, $912.00 ,Z19065,"PM25
PM25L
PM50
PM50G
PM50L
PM50LG
PM50S
PM100
PM100G
PM100LG
PM100S",92,
PM100LG,Pie Master Pie Warmer,"Designed to hold and attractively display cooked pies, sausage rolls and pasties at correct serving temperature. Features modern stainless steel body, adjustable feet and metal control knobs. The cleverly designed display racks can be installed horizontally or at an angle. The PM100LG holds 100 pies and has sliding glass doors on both sides of the unit. Includes the addition of a baffle tray with steam (1/9 gastronorm) pan in the base of the unit to provide moisture to contents and an internal light to illuminate contents.","Benchtop, Benchtop > Pie Warmers",772,392,587,39,0.261,100 pies,1650w,ROBAND,0,,Australia,Roband Catalogue April2020.pdf,12 months, $944.00 ,Z19065,"PM25
PM25L
PM50
PM50G
PM50L
PM50LG
PM50S
PM100
PM100G
PM100L
PM100S",93,
PM100S,Pie Master Pie Warmer,"Designed to hold and attractively display cooked pies, sausage rolls and pasties at correct serving temperature. Features modern stainless steel body, adjustable feet and metal control knobs. The cleverly designed display racks can be installed horizontally or at an angle. The PM100S holds 100 pies and has stainless steel doors and a fixed stainless steel back.","Benchtop, Benchtop > Pie Warmers",772,392,587,38,0.261,100 pies,1550w,ROBAND,0,,Australia,,12 months, $878.00 ,0,"PM25
PM25L
PM50
PM50G
PM50L
PM50LG
PM50S
PM100
PM100G
PM100L
PM100LG",94,
PM60,Roband Pie Warmer & Merchandiser 60 pies,"Better display means greater turnover, fresher products and greater profits, this unit has an angled racking system, illuminated advertising space in top light box, stylish design, glass on all four sides, black powder coated body & fluorescent lighting. 60 pie capacity. 6.7 Amp","Benchtop, Benchtop > Pie Warmers",655,490,670,37,0.341,60,1550w,ROBAND,PM60 Pie Merchandiser.jpg,PM60_v1.DWG,Australia,Roband Catalogue April2020.pdf,12 months," $1,280.00 ",0,PM60G,95,
PM60G,"Roband Pie Warmer & Merchandiser 60 pies, doors both sides","Better display means greater turnover, fresher products and greater profits. It has an angled racking system, illuminated advertising space in top light box, stylish design, glass on all four sides, sliding glass doors on front and rear, black powder coated body & fluorescent lighting. 60 pie capacity. 6.7 Amp","Benchtop, Benchtop > Pie Warmers",655,490,670,38,0.341,60,1550w,ROBAND,PM60G Pie Merchandiser.jpg,,Australia,Roband Catalogue April2020.pdf,12 months," $1,295.00 ",0,PM60,96,
40DT,"Roband Hammertone Finish Pie Warmer, 40 pies","Finished in silver hammertone on a steel body, this unit has a precise thermostat control, thermometer and removable crumb trays, it has a double skin cavity for even temperature and low running costs. Removable drawers with stainless steel fronts are designed for pies, pastries and sausage rolls. 40 pie capacity. 5.4 Amp","Benchtop, Benchtop > Pie Warmers",505,320,360,19,0.147,40,1250w,ROBAND,40DT Hammertone Pie Warmer.jpg,40DT_v1.DWG,Australia,Roband Catalogue July2018.pdf,12 months, $665.00 ,0,80DT,97,
80DT,"Roband Hammertone Finish Pie Warmer, 80 pies","Finished in silver hammertone on a steel body, this unit has a precise thermostat control, thermometer and removable crumb trays, it has a double skin cavity for even temperature and low running costs. Removable drawers with stainless steel fronts are designed for pies, pastries and sausage rolls. 80 pie capacity. 5.4 Amp","Benchtop, Benchtop > Pie Warmers",585,350,485,29,0.193,80,1250w,ROBAND,80DT Hammertone Pie Warmer.jpg,80DT_v1.DWG,Australia,Roband Catalogue July2018.pdf,12 months, $901.00 ,0,40DT,98,
83DT,"Roband Hammertone Finish Pie Warmer with sliding door, 40 pies","Finished in silver hammertone on a steel body, this unit has a precise thermostat control, thermometer and removable crumb trays, it has a double skin cavity for even temperature and low running costs. With its sliding steel doors and three removable wire shelves, it is ideal for lunch rooms, canteens and construction sites. 40 pie capacity.  5.4 Amp","Benchtop, Benchtop > Pie Warmers",585,350,485,22,0.193,40,1250w,ROBAND,83DT Hammertone Pie Warmer.jpg,83DT_v2.DWG,Australia,Roband Catalogue July2018.pdf,12 months, $581.00 ,0,0,99,
MP18,Roband Pasta Master / Vegetable Blancher,"From fridge to table in moments. The pasta master will return pre-prepared pasta dishes such as spaghetti, fettuccini and tortellini to serving temperature quickly and efficiently. It can also be used for blanching vegetables. Stainless steel construction, precise thermostat control, swing back element, easily removable tank & stainless steel fine mesh baskets. 8 litre capacity.","Cooking, Cooking > Pasta / Noodle Cookers",275,425,340,13,0.116,8lt,2240w,ROBAND,MP18 Pasta Master.jpg,,Australia,Roband Catalogue July2018.pdf,12 months," $1,033.00 ",0,0,100,
M1,Roband Hot Dog Warmer,"Features a glass tank which presents the hot dogs appealingly, it is a stainless steel construction, has energy regulator controls and has a tank divider to separate heating and cooked products.40 hot dog capacity.","Benchtop, Benchtop > Hot Dog Machines",350,270,290,9,0.079,40,700w,ROBAND,M1 Hot Dog steam tank.jpg,,Australia,Roband Catalogue July2018.pdf,12 months, $667.00 ,0,"M3
M3T",101,
M3,Roband Hot Dog and Bun Warmer,"Features a glass tank which presents the hot dogs appealingly, it is a stainless steel construction, has energy regulator controls, has a tank divider to separate heating and cooked products, heated aluminium spikes and optional Teflon coating for spikes are available.40 hot dog / 3 bun capacity.","Benchtop, Benchtop > Hot Dog Machines",350,350,300,11,0.079,40/3,1000w,ROBAND,M3 Hot Dog and Bun Warmer.jpg,M3_v1.DWG,Australia,Roband Catalogue July2018.pdf,12 months, $939.00 ,0,M3T,102,
M3T,Roband Hot Dog and Bun Warmer Teflon coated,"Features a glass tank which presents the hot dogs appealingly, it is a stainless steel construction, has energy regulator controls, has a tank divider to separate heating and cooked products, heated Teflon coated spikes.40 hot dog / 3 bun capacity.","Benchtop, Benchtop > Hot Dog Machines",350,350,300,11,0.079,40/3,1000w,ROBAND,M3T Teflon Hot Dog Bun Warmer.jpg,,Australia,Roband Catalogue July2018.pdf,12 months," $1,022.00 ",0,"M3
M6T",103,
M6T,Roband Bun Warmer Teflon coated,"Bun warmer only, stainless steel construction, energy regulator controls and heated Teflon coated aluminium spikes. 6 bun capacity.","Benchtop, Benchtop > Hot Dog Machines",355,240,300,11,0.079,6,600w,ROBAND,M6T Hot Dog Machine.jpg,M6T_v1.DWG,Australia,Roband Catalogue July2018.pdf,12 months, $981.00 ,M1,M1,104,
CS10,Roband Carving Station,"Heat source from above and below, energy regulator control of element below, crumb/drip tray, full size 65mm deep pan with full size 25mm deep perforated and spiked pan, max pan depth 65mm, adjustable feet and stainless steel construction.1 x full size 65mm deep pan","Preparation, Preparation > Meat Carving Stations",355,650,570,18,0.221,1 x full size 65mm deep pan,1750w,ROBAND,CS10 Carving Station.jpg,CS10_v1.DWG,Australia,Roband Catalogue July2018.pdf,12 months," $1,253.00 ",0,0,105,
CW10,Roband Chip Warmer,"Heat source from above and below, sloped tray for ease of serving, energy regulator control, stainless steel body & adjustable feet.","Benchtop > Chip Warmers, Benchtop",710,590,605,38,0.468,,1750w,ROBAND,CW10 Chip Warmer.jpg,CW10_v3.DWG,Australia,Roband Catalogue July2018.pdf,12 months," $1,538.00 ",0,"F15
F18
F111
F25
F28",106,
MW10,Multi-function Warmer base unit,"This compact bench-top warmer can accommodate a range of accessories to suit the type of hot food being displayed. With heat source from above (quartz heat lamp) and from below (stainless steel elements), the unit attractively holds and displays hot food, ready for service. The MW10 is supplied without pans. It can accomodate combinations of pans up to  1/1 GN size.","Benchtop > Chip Warmers, Benchtop",395,640,475,16,0.190,N/A,685w,ROBAND,"MW10 Multi Warmer with optional 100mm deep pan.jpg

MW10 Multi Warmer with optional 100mm deep pan & light on.jpg",,Australia,"Roband-MultiWarmer-Feb2020.pdf

Roband Catalogue April2020.pdf",12 months, $858.00 ,Z11100,"MW10CW
MW10CS",107,
MW10CS,Multi-function Warmer - Carving Station,"This compact bench-top warmer can accommodate a range of accessories to suit the type of hot food being displayed. With heat source from above (quartz heat lamp) and from below (stainless steel elements), the unit attractively holds and displays hot food, ready for service. The MW10CS is supplied with a full size (65mm deep) gastronorm pan with a full sized perforated and spiked pan (25mm deep) so it can be used as a carving tray.","Benchtop > Chip Warmers, Benchtop",395,640,475,16,0.190,N/A,685w,ROBAND,"MW10CS Multi Warmer Carving Station.jpg

MW10CS Multi Warmer Carving Station & light on.jpg",,Australia,"Roband-MultiWarmer-Feb2020.pdf

Roband Catalogue April2020.pdf",12 months, $898.00 ,Z11065,"MW10
MW10CW",108,
